scan_id,trade_num,orderId,order_type,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency,execution_time_secs
0,0,6098d01e5b31e60006a47d2c,buy,MIR-USDT,False,10.251,0.124,0.124,1.271124,0.0020337984,USDT,0.50187
0,1,6098d01f5b31e60006a481d2,sell,MIR-KCS,True,0.7736,0.124,0.1236,0.09561696,7.6493568e-05,KCS,0.98289
0,2,6098d02295cfe40006596e36,sell,KCS-USDT,False,13.3,0.0953,0.0953,1.26749,0.002027984,USDT,1.51488
2,0,6098d02995cfe4000659a088,buy,MIR-USDT,False,10.251,0.1465,0.1465,1.5017715,0.0024028344,USDT,0.49291
2,1,6098d02a78f3de0006057d70,sell,MIR-KCS,True,0.7733,0.1465,0.1461,0.11297913,9.0383304e-05,KCS,0.5623
2,2,6098d02c2d264a00060c8787,sell,KCS-USDT,False,13.3,0.1126,0.1126,1.49758,0.002396128,USDT,1.02222
11,0,6098d046fc04e80006c55093,buy,MIR-USDT,False,10.256,0.2185,0.2185,2.240936,0.0035854976,USDT,0.47886
11,1,6098d047b178cd000655d0fd,sell,MIR-KCS,True,0.7731,0.2185,0.0083,0.00641673,5.133384e-06,KCS,1.05684
11,1,6098d049b178cd000655ddbb,sell,MIR-KCS,True,0.7729,0.2102,0.0,0.0,0.0,KCS,0.52589
11,1,6098d04c0e33aa0006463430,sell,MIR-KCS,False,0.7728,0.2102,0.2102,0.16244256,0.000129954048,KCS,1.56973
11,2,6098d04d0e33aa0006463bec,sell,KCS-USDT,True,13.302,0.1683,0.1683,2.240073,0.0035841168,USDT,0.48261
14,0,6098d055000a84000697e260,buy,MIR-USDT,False,10.256,0.8314,0.8314,8.5268384,0.01364294144,USDT,0.62229
14,1,6098d0565b31e60006a5cee8,sell,MIR-KCS,True,0.7725,0.8314,0.8293,0.64063425,0.0005125074,KCS,0.49406
14,2,6098d058b9bd7f000602eb82,sell,KCS-USDT,False,13.31,0.639,0.639,8.51787,0.013628592,USDT,0.56082
