scan_id,id,asset,type,balance,available,holds
4,607a84fde7edca0006274104,USDT,trade,87.3924257,87.3924257,0
4,60822a934f0cad00061d0cd7,KCS,trade,1.61282729,1.61282729,0
4,6084d015888d550006aa398f,BTC,trade,6.299e-05,0.00006299,0
4,608b733b0df3360006d4d208,SENSO,trade,0.0074,0.0074,0
4,6083c6aedc130a0006704d8f,TRX,trade,0.06176749,0.06176749,0
4,60839b050df33600068acacf,MIR,trade,0.0006,0.0006,0
4,6084f58adc130a0006986bbd,POLK,trade,0.0023,0.0023,0
4,60910c18988cba0006fc04f7,LTX,trade,0.0031,0.0031,0
4,608bc6eab9339e000616c62c,XHV,trade,0.0001,0.0001,0
4,6088f1206a195000063880df,CARR,trade,0.0251,0.0251,0
4,608bc90cc63e6b0006d945d3,CBC,trade,0.0159,0.0159,0
4,6087c5dd78e0730006c9cc38,SWINGBY,trade,0.0017,0.0017,0
4,6090a54adc130a000619cc8d,NWC,trade,0.0004,0.0004,0
4,60839ddc5c9af90006031019,ETH,trade,1.6e-07,0.00000016,0
